Date,Time,inches,inches,Raw,Alarm,Date,Time,Date/Time,Storm,Storm Start,Inc. Time,Total Time,Time (Min.),Time(Min.),Precip.(In)
,,,,,,,,,35963.47101,,,,,0.00,0
7/8/1998,21:14:21,0.35,0.04,9,,35984,0.884965,35984.885,35984.88497,1,0,0,0.00,5.00,0.04
7/8/1998,21:23:20,0.39,0.04,10,,35984,0.891204,35984.891,35984.8912,,0.006238426,0.006238426,8.98,13.98,0.08
7/8/1998,21:26:27,0.43,0.04,11,,35984,0.893368,35984.893,35984.89337,,0.002164352,0.008402778,12.10,17.10,0.12
7/8/1998,21:32:45,0.47,0.04,12,,35984,0.897743,35984.898,35984.89774,,0.004375,0.012777778,18.40,23.40,0.16
7/8/1998,22:14:51,0.55,0.08,14,,35984,0.926979,35984.927,35984.92698,,0.029236111,0.042013889,60.50,65.50,0.24
7/8/1998,22:30:25,0.59,0.04,15,,35984,0.937789,35984.938,35984.93779,,0.010810185,0.052824074,76.07,81.07,0.28
7/8/1998,22:36:14,0.63,0.04,16,,35984,0.941829,35984.942,35984.94183,,0.004039352,0.056863426,81.88,86.88,0.32
7/8/1998,22:39:33,0.67,0.04,17,,35984,0.944132,35984.944,35984.94413,,0.002303241,0.059166667,85.20,90.20,0.36
7/8/1998,22:43:13,0.71,0.04,18,,35984,0.946678,35984.947,35984.94668,,0.002546296,0.061712963,88.87,93.87,0.4
7/8/1998,22:57:14,0.75,0.04,19,,35984,0.956412,35984.956,35984.95641,,0.009733796,0.071446759,102.88,107.88,0.44
7/8/1998,23:17:14,0.79,0.04,20,,35984,0.970301,35984.970,35984.9703,,0.013888889,0.085335648,122.88,127.88,0.48
,,,,,,,,,35984.97029,,,,,0.00,0
7/22/1998,18:00:22,0.87,0.04,22,,35998,0.750255,35998.750,35998.75025,1,0,0,0.00,5.00,0.04
7/22/1998,18:09:01,0.91,0.04,23,,35998,0.756262,35998.756,35998.75626,,0.006006944,0.006006944,8.65,13.65,0.08
7/22/1998,18:12:53,0.98,0.07,25,,35998,0.758947,35998.759,35998.75895,,0.002685185,0.00869213,12.52,17.52,0.15
7/22/1998,18:14:39,1.02,0.04,26,,35998,0.760174,35998.760,35998.76017,,0.001226852,0.009918981,14.28,19.28,0.19
7/22/1998,18:17:49,1.06,0.04,27,,35998,0.762373,35998.762,35998.76237,,0.002199074,0.012118056,17.45,22.45,0.23
7/22/1998,18:23:00,1.14,0.08,29,,35998,0.765972,35998.766,35998.76597,,0.003599537,0.015717593,22.63,27.63,0.31
7/22/1998,18:24:34,1.18,0.04,30,,35998,0.767060,35998.767,35998.76706,,0.001087963,0.016805556,24.20,29.20,0.35
7/22/1998,18:26:21,1.22,0.04,31,,35998,0.768299,35998.768,35998.7683,,0.001238426,0.018043981,25.98,30.98,0.39
7/22/1998,18:28:01,1.26,0.04,32,,35998,0.769456,35998.769,35998.76946,,0.001157407,0.019201389,27.65,32.65,0.43
7/22/1998,18:30:04,1.34,0.08,34,,35998,0.770880,35998.771,35998.77088,,0.001423611,0.020625,29.70,34.70,0.51
7/22/1998,18:30:52,1.38,0.04,35,,35998,0.771435,35998.771,35998.77144,,0.000555556,0.021180556,30.50,35.50,0.55
7/22/1998,18:32:04,1.42,0.04,36,,35998,0.772269,35998.772,35998.77227,,0.000833333,0.022013889,31.70,36.70,0.59
7/22/1998,18:33:22,1.46,0.04,37,,35998,0.773171,35998.773,35998.77317,,0.000902778,0.022916667,33.00,38.00,0.63
7/22/1998,18:34:26,1.5,0.04,38,,35998,0.773912,35998.774,35998.77391,,0.000740741,0.023657407,34.07,39.07,0.67
7/22/1998,18:35:39,1.54,0.04,39,,35998,0.774757,35998.775,35998.77476,,0.000844907,0.024502315,35.28,40.28,0.71
7/22/1998,18:36:58,1.57,0.03,40,,35998,0.775671,35998.776,35998.77567,,0.000914352,0.025416667,36.60,41.60,0.74
7/22/1998,18:38:43,1.61,0.04,41,,35998,0.776887,35998.777,35998.77689,,0.001215278,0.026631944,38.35,43.35,0.78
7/22/1998,18:41:24,1.65,0.04,42,,35998,0.778750,35998.779,35998.77875,,0.001863426,0.02849537,41.03,46.03,0.82
7/22/1998,19:03:17,1.69,0.04,43,,35998,0.793947,35998.794,35998.79395,,0.015196759,0.04369213,62.92,67.92,0.86
,,,,,,,,,35998.79394,,,,,0.00,0
7/24/1998,20:30:14,1.81,0.04,46,,36000,0.854329,36000.854,36000.85433,1,0,0,0.00,5.00,0.04
7/24/1998,20:34:32,1.89,0.08,48,,36000,0.857315,36000.857,36000.85731,,0.002986111,0.002986111,4.30,9.30,0.12
7/24/1998,20:36:54,1.93,0.04,49,,36000,0.858958,36000.859,36000.85896,,0.001643519,0.00462963,6.67,11.67,0.16
7/24/1998,20:39:47,1.97,0.04,50,,36000,0.860961,36000.861,36000.86096,,0.002002315,0.006631944,9.55,14.55,0.2
7/24/1998,20:43:39,2.05,0.08,52,,36000,0.863646,36000.864,36000.86365,,0.002685185,0.00931713,13.42,18.42,0.28
7/24/1998,20:49:40,2.09,0.04,53,,36000,0.867824,36000.868,36000.86782,,0.004178241,0.01349537,19.43,24.43,0.32
7/24/1998,21:10:02,2.13,0.04,54,,36000,0.881968,36000.882,36000.88197,,0.014143519,0.027638889,39.80,44.80,0.36
7/24/1998,21:26:24,2.17,0.04,55,,36000,0.893333,36000.893,36000.89333,,0.011365741,0.03900463,56.17,61.17,0.4
7/24/1998,21:35:49,2.2,0.03,56,,36000,0.899873,36000.900,36000.89987,,0.006539352,0.045543981,65.58,70.58,0.43
7/24/1998,22:51:25,2.24,0.04,57,,36000,0.952373,36000.952,36000.95237,,0.0525,0.098043981,141.18,146.18,0.47
7/24/1998,23:15:58,2.28,0.04,58,,36000,0.969421,36000.969,36000.96942,,0.017048611,0.115092593,165.73,170.73,0.51
,,,,,,,,,36000.96941,,,,,0.00,0
7/25/1998,18:20:50,2.52,0.24,64,,36001,0.764468,36001.764,36001.76447,1,0,0,0.00,5.00,0.24
7/25/1998,18:52:59,2.8,0.28,71,,36001,0.786794,36001.787,36001.78679,,0.022326389,0.022326389,32.15,37.15,0.52
7/25/1998,19:03:51,2.83,0.03,72,,36001,0.794340,36001.794,36001.79434,,0.007546296,0.029872685,43.02,48.02,0.55
7/25/1998,19:34:20,2.91,0.08,74,,36001,0.815509,36001.816,36001.81551,,0.021168981,0.051041667,73.50,78.50,0.63
7/25/1998,19:49:31,2.95,0.04,75,,36001,0.826053,36001.826,36001.82605,,0.010543981,0.061585648,88.68,93.68,0.67
7/25/1998,19:58:55,2.99,0.04,76,,36001,0.832581,36001.833,36001.83258,,0.006527778,0.068113426,98.08,103.08,0.71
7/25/1998,20:16:54,3.07,0.08,78,,36001,0.845069,36001.845,36001.84507,,0.012488426,0.080601852,116.07,121.07,0.79
7/25/1998,20:26:51,3.11,0.04,79,,36001,0.851979,36001.852,36001.85198,,0.006909722,0.087511574,126.02,131.02,0.83
7/25/1998,20:40:49,3.15,0.04,80,,36001,0.861678,36001.862,36001.86168,,0.009699074,0.097210648,139.98,144.98,0.87
7/25/1998,20:54:29,3.19,0.04,81,,36001,0.871169,36001.871,36001.87117,,0.009490741,0.106701389,153.65,158.65,0.91
7/25/1998,21:14:38,3.23,0.04,82,,36001,0.885162,36001.885,36001.88516,,0.013993056,0.120694444,173.80,178.80,0.95
7/25/1998,21:49:20,3.27,0.04,83,,36001,0.909259,36001.909,36001.90926,,0.024097222,0.144791667,208.50,213.50,0.99
,,,,,,,,,36001.90925,,,,,0.00,0
7/30/1998,14:23:50,3.46,0.11,88,,36006,0.599884,36006.600,36006.59988,1,0,0,0.00,5.00,0.11
7/30/1998,14:34:38,3.5,0.04,89,,36006,0.607384,36006.607,36006.60738,,0.0075,0.0075,10.80,15.80,0.15
7/30/1998,16:16:24,3.54,0.04,90,,36006,0.678056,36006.678,36006.67806,,0.070671296,0.078171296,112.57,117.57,0.19
7/30/1998,16:33:07,3.58,0.04,91,,36006,0.689664,36006.690,36006.68966,,0.011608796,0.089780093,129.28,134.28,0.23
7/30/1998,17:45:52,3.62,0.04,92,,36006,0.740185,36006.740,36006.74019,,0.050520833,0.140300926,202.03,207.03,0.27
,,,,,,,,,36006.74018,,,,,0.00,0
8/1/1998,14:43:31,3.74,0.08,95,,36008,0.613553,36008.614,36008.61355,1,0,0,0.00,5.00,0.08
8/1/1998,14:46:29,4.49,0.75,114,,36008,0.615613,36008.616,36008.61561,,0.002060185,0.002060185,2.97,7.97,0.83
8/1/1998,15:45:20,3.98,0.04,101,,36008,0.656481,36008.656,36008.65648,,0.040868056,0.042928241,61.82,66.82,0.87
,,,,,,,,,36008.65647,,,,,0.00,0
8/3/1998,17:47:28,4.13,0.15,105,,36010,0.741296,36010.741,36010.7413,1,0,0,0.00,5.00,0.15
8/3/1998,17:51:07,4.17,0.04,106,,36010,0.743831,36010.744,36010.74383,,0.002534722,0.002534722,3.65,8.65,0.19
8/3/1998,17:53:33,4.21,0.04,107,,36010,0.745521,36010.746,36010.74552,,0.001689815,0.004224537,6.08,11.08,0.23
8/3/1998,17:55:43,4.25,0.04,108,,36010,0.747025,36010.747,36010.74703,,0.00150463,0.005729167,8.25,13.25,0.27
8/3/1998,17:56:31,4.29,0.04,109,,36010,0.747581,36010.748,36010.74758,,0.000555556,0.006284722,9.05,14.05,0.31
8/3/1998,17:57:33,4.33,0.04,110,,36010,0.748299,36010.748,36010.7483,,0.000717593,0.007002315,10.08,15.08,0.35
8/3/1998,17:58:23,4.37,0.04,111,,36010,0.748877,36010.749,36010.74888,,0.000578704,0.007581019,10.92,15.92,0.39
8/3/1998,17:59:11,4.41,0.04,112,,36010,0.749433,36010.749,36010.74943,,0.000555556,0.008136574,11.72,16.72,0.43
8/3/1998,18:40:43,4.49,0.08,114,,36010,0.778275,36010.778,36010.77828,,0.028842593,0.036979167,53.25,58.25,0.51
8/3/1998,19:37:13,4.53,0.04,115,,36010,0.817512,36010.818,36010.81751,,0.039236111,0.076215278,109.75,114.75,0.55
8/3/1998,19:37:43,4.57,0.04,116,,36010,0.817859,36010.818,36010.81786,,0.000347222,0.0765625,110.25,115.25,0.59
8/3/1998,19:40:43,4.61,0.04,117,,36010,0.819942,36010.820,36010.81994,,0.002083333,0.078645833,113.25,118.25,0.63
8/3/1998,19:42:16,4.65,0.04,118,,36010,0.821019,36010.821,36010.82102,,0.001076389,0.079722222,114.80,119.80,0.67
8/3/1998,19:44:14,4.69,0.04,119,,36010,0.822384,36010.822,36010.82238,,0.001365741,0.081087963,116.77,121.77,0.71
8/3/1998,19:45:37,4.72,0.03,120,,36010,0.823345,36010.823,36010.82334,,0.000960648,0.082048611,118.15,123.15,0.74
8/3/1998,19:47:37,4.76,0.04,121,,36010,0.824734,36010.825,36010.82473,,0.001388889,0.0834375,120.15,125.15,0.78
8/3/1998,19:51:59,4.8,0.04,122,,36010,0.827766,36010.828,36010.82777,,0.003032407,0.086469907,124.52,129.52,0.82
8/3/1998,20:15:01,4.84,0.04,123,,36010,0.843762,36010.844,36010.84376,,0.01599537,0.102465278,147.55,152.55,0.86
,,,,,,,,,36010.84375,,,,,0.00,0
8/4/1998,10:25:26,4.92,0.04,125,,36011,0.434329,36011.434,36011.43433,1,0,0,0.00,5.00,0.04
8/4/1998,10:28:58,4.96,0.04,126,,36011,0.436782,36011.437,36011.43678,,0.002453704,0.002453704,3.53,8.53,0.08
8/4/1998,10:31:26,5,0.04,127,,36011,0.438495,36011.438,36011.4385,,0.001712963,0.004166667,6.00,11.00,0.12
8/4/1998,10:36:51,5.04,0.04,128,,36011,0.442257,36011.442,36011.44226,,0.003761574,0.007928241,11.42,16.42,0.16
,,,,,,,,,36011.44225,,,,,0.00,0
4/3/1999,11:21:09,7.99,0.04,203,,36253,0.473021,36253.473,36253.47302,1,0,0,0.00,5.00,0.04
4/3/1999,11:35:10,8.03,0.04,204,,36253,0.482755,36253.483,36253.48275,,0.009733796,0.009733796,14.02,19.02,0.08
4/3/1999,11:46:34,8.07,0.04,205,,36253,0.490671,36253.491,36253.49067,,0.007916667,0.017650463,25.42,30.42,0.12
4/3/1999,12:02:21,8.11,0.04,206,,36253,0.501632,36253.502,36253.50163,,0.010960648,0.028611111,41.20,46.20,0.16
,,,,,,,,,36253.50162,,,,,0.00,0
4/13/1999,21:36:24,8.19,0.04,208,,36263,0.900278,36263.900,36263.90028,1,0,0,0.00,5.00,0.04
4/13/1999,21:42:15,8.23,0.04,209,,36263,0.904340,36263.904,36263.90434,,0.0040625,0.0040625,5.85,10.85,0.08
4/13/1999,21:56:19,8.27,0.04,210,,36263,0.914109,36263.914,36263.91411,,0.009768519,0.013831019,19.92,24.92,0.12
4/13/1999,22:16:59,8.31,0.04,211,,36263,0.928461,36263.928,36263.92846,,0.014351852,0.02818287,40.58,45.58,0.16
4/13/1999,22:40:54,8.35,0.04,212,,36263,0.945069,36263.945,36263.94507,,0.016608796,0.044791667,64.50,69.50,0.2
4/13/1999,22:53:05,8.39,0.04,213,,36263,0.953530,36263.954,36263.95353,,0.008460648,0.053252315,76.68,81.68,0.24
4/13/1999,23:03:42,8.43,0.04,214,,36263,0.960903,36263.961,36263.9609,,0.007372685,0.060625,87.30,92.30,0.28
4/13/1999,23:10:16,8.46,0.03,215,,36263,0.965463,36263.965,36263.96546,,0.004560185,0.065185185,93.87,98.87,0.31
4/13/1999,23:16:41,8.5,0.04,216,,36263,0.969919,36263.970,36263.96992,,0.004456019,0.069641204,100.28,105.28,0.35
4/13/1999,23:24:58,8.54,0.04,217,,36263,0.975671,36263.976,36263.97567,,0.005752315,0.075393519,108.57,113.57,0.39
4/13/1999,23:31:40,8.58,0.04,218,,36263,0.980324,36263.980,36263.98032,,0.004652778,0.080046296,115.27,120.27,0.43
4/13/1999,23:36:35,8.62,0.04,219,,36263,0.983738,36263.984,36263.98374,,0.003414352,0.083460648,120.18,125.18,0.47
4/13/1999,23:40:31,8.66,0.04,220,,36263,0.986470,36263.986,36263.98647,,0.002731481,0.08619213,124.12,129.12,0.51
4/13/1999,23:45:17,8.7,0.04,221,,36263,0.989780,36263.990,36263.98978,,0.003310185,0.089502315,128.88,133.88,0.55
4/13/1999,23:52:04,8.74,0.04,222,,36263,0.994491,36263.994,36263.99449,,0.004710648,0.094212963,135.67,140.67,0.59
,,,,,,,,,36263.99448,,,,,0.00,0
4/14/1999,0:05:49,8.82,0.08,224,,36264,0.004039,36264.004,36264.00404,1,0,0,0.00,5.00,0.08
4/14/1999,0:13:49,8.86,0.04,225,,36264,0.009595,36264.010,36264.00959,,0.005555556,0.005555556,8.00,13.00,0.12
4/14/1999,0:26:42,8.9,0.04,226,,36264,0.018542,36264.019,36264.01854,,0.008946759,0.014502315,20.88,25.88,0.16
4/14/1999,0:52:11,8.94,0.04,227,,36264,0.036238,36264.036,36264.03624,,0.017696759,0.032199074,46.37,51.37,0.2
4/14/1999,1:17:00,8.98,0.04,228,,36264,0.053472,36264.053,36264.05347,,0.017233796,0.04943287,71.18,76.18,0.24
4/14/1999,3:28:00,9.02,0.04,229,,36264,0.144444,36264.144,36264.14444,,0.090972222,0.140405093,202.18,207.18,0.28
4/14/1999,3:32:08,9.06,0.04,230,,36264,0.147315,36264.147,36264.14731,,0.00287037,0.143275463,206.32,211.32,0.32
4/14/1999,3:47:17,9.09,0.03,231,,36264,0.157836,36264.158,36264.15784,,0.010520833,0.153796296,221.47,226.47,0.35
4/14/1999,4:24:09,9.13,0.04,232,,36264,0.183438,36264.183,36264.18344,,0.025601852,0.179398148,258.33,263.33,0.39
4/14/1999,6:58:35,9.17,0.04,233,,36264,0.290683,36264.291,36264.29068,,0.10724537,0.286643519,412.77,417.77,0.43
4/14/1999,8:33:18,9.21,0.04,234,,36264,0.356458,36264.356,36264.35646,,0.065775463,0.352418981,507.48,512.48,0.47
4/14/1999,10:55:02,9.25,0.04,235,,36264,0.454884,36264.455,36264.45488,,0.098425926,0.450844907,649.22,654.22,0.51
,,,,,,,,,36264.45487,,,,,0.00,0
4/15/1999,11:03:03,9.33,0.04,237,,36265,0.460451,36265.460,36265.46045,1,0,0,0.00,5.00,0.04
4/15/1999,11:18:20,9.37,0.04,238,,36265,0.471065,36265.471,36265.47106,,0.010613426,0.010613426,15.28,20.28,0.08
4/15/1999,11:35:51,9.41,0.04,239,,36265,0.483229,36265.483,36265.48323,,0.012164352,0.022777778,32.80,37.80,0.12
4/15/1999,11:59:55,9.45,0.04,240,,36265,0.499942,36265.500,36265.49994,,0.016712963,0.039490741,56.87,61.87,0.16
,,,,,,,,,36265.49993,,,,,0.00,0
4/17/1999,11:44:04,9.49,0.04,241,,36267,0.488935,36267.489,36267.48894,1,0,0,0.00,5.00,0.04
4/17/1999,11:59:09,9.53,0.04,242,,36267,0.499410,36267.499,36267.49941,,0.010474537,0.010474537,15.08,20.08,0.08
4/17/1999,12:10:58,9.57,0.04,243,,36267,0.507616,36267.508,36267.50762,,0.008206019,0.018680556,26.90,31.90,0.12
,,,,,,,,,36267.50761,,,,,0.00,0
4/22/1999,0:53:41,9.65,0.04,245,,36272,0.037280,36272.037,36272.03728,1,0,0,0.00,5.00,0.04
4/22/1999,1:14:32,9.69,0.04,246,,36272,0.051759,36272.052,36272.05176,,0.014479167,0.014479167,20.85,25.85,0.08
4/22/1999,1:34:20,9.72,0.03,247,,36272,0.065509,36272.066,36272.06551,,0.01375,0.028229167,40.65,45.65,0.11
4/22/1999,1:53:13,9.76,0.04,248,,36272,0.078623,36272.079,36272.07862,,0.013113426,0.041342593,59.53,64.53,0.15
4/22/1999,2:07:29,9.8,0.04,249,,36272,0.088530,36272.089,36272.08853,,0.009907407,0.05125,73.80,78.80,0.19
4/22/1999,3:26:15,9.84,0.04,250,,36272,0.143229,36272.143,36272.14323,,0.054699074,0.105949074,152.57,157.57,0.23
,,,,,,,,,36272.14322,,,,,0.00,0
4/22/1999,12:40:24,9.88,0.04,251,,36272,0.528056,36272.528,36272.52806,1,0,0,0.00,5.00,0.04
4/22/1999,12:47:07,9.92,0.04,252,,36272,0.532720,36272.533,36272.53272,,0.004664352,0.004664352,6.72,11.72,0.08
4/22/1999,12:53:37,9.96,0.04,253,,36272,0.537234,36272.537,36272.53723,,0.004513889,0.009178241,13.22,18.22,0.12
4/22/1999,12:59:46,10,0.04,254,,36272,0.541505,36272.542,36272.5415,,0.004270833,0.013449074,19.37,24.37,0.16
4/22/1999,13:06:24,10.04,0.04,255,,36272,0.546111,36272.546,36272.54611,,0.004606481,0.018055556,26.00,31.00,0.2
4/22/1999,13:13:34,10.08,0.04,256,,36272,0.551088,36272.551,36272.55109,,0.004976852,0.023032407,33.17,38.17,0.24
4/22/1999,13:21:11,10.12,0.04,257,,36272,0.556377,36272.556,36272.55638,,0.005289352,0.028321759,40.78,45.78,0.28
4/22/1999,13:29:19,10.16,0.04,258,,36272,0.562025,36272.562,36272.56203,,0.005648148,0.033969907,48.92,53.92,0.32
4/22/1999,13:37:17,10.2,0.04,259,,36272,0.567558,36272.568,36272.56756,,0.005532407,0.039502315,56.88,61.88,0.36
4/22/1999,13:47:00,10.24,0.04,260,,36272,0.574306,36272.574,36272.57431,,0.006747685,0.04625,66.60,71.60,0.4
4/22/1999,13:56:09,10.28,0.04,261,,36272,0.580660,36272.581,36272.58066,,0.006354167,0.052604167,75.75,80.75,0.44
4/22/1999,14:09:06,10.31,0.03,262,,36272,0.589653,36272.590,36272.58965,,0.008993056,0.061597222,88.70,93.70,0.47
4/22/1999,14:18:20,10.35,0.04,263,,36272,0.596065,36272.596,36272.59606,,0.006412037,0.068009259,97.93,102.93,0.51
4/22/1999,14:31:50,10.39,0.04,264,,36272,0.605440,36272.605,36272.60544,,0.009375,0.077384259,111.43,116.43,0.55
4/22/1999,14:40:36,10.43,0.04,265,,36272,0.611528,36272.612,36272.61153,,0.006087963,0.083472222,120.20,125.20,0.59
4/22/1999,15:11:37,10.51,0.08,267,,36272,0.633067,36272.633,36272.63307,,0.021539352,0.105011574,151.22,156.22,0.67
4/22/1999,15:36:34,10.55,0.04,268,,36272,0.650394,36272.650,36272.65039,,0.017326389,0.122337963,176.17,181.17,0.71
4/22/1999,16:02:38,10.59,0.04,269,,36272,0.668495,36272.668,36272.6685,,0.018101852,0.140439815,202.23,207.23,0.75
4/22/1999,16:59:34,10.63,0.04,270,,36272,0.708032,36272.708,36272.70803,,0.039537037,0.179976852,259.17,264.17,0.79
,,,,,,,,,36272.70802,,,,,0.00,0
4/22/1999,19:28:08,10.67,0.04,271,,36272,0.811204,36272.811,36272.8112,1,0,0,0.00,5.00,0.04
4/22/1999,19:56:47,10.71,0.04,272,,36272,0.831100,36272.831,36272.8311,,0.019895833,0.019895833,28.65,33.65,0.08
4/22/1999,20:18:08,10.75,0.04,273,,36272,0.845926,36272.846,36272.84593,,0.014826389,0.034722222,50.00,55.00,0.12
4/22/1999,20:37:01,10.79,0.04,274,,36272,0.859039,36272.859,36272.85904,,0.013113426,0.047835648,68.88,73.88,0.16
,,,,,,,,,36272.85903,,,,,0.00,0
4/23/1999,12:53:13,10.83,0.04,275,,36273,0.536956,36273.537,36273.53696,1,0,0,0.00,5.00,0.04
4/23/1999,13:19:26,10.87,0.04,276,,36273,0.555162,36273.555,36273.55516,,0.018206019,0.018206019,26.22,31.22,0.08
